               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  90,            0.033813,             0.01047,            0.058657,              0.3823,             0.45436,             0.37119,             0.22005,            0.023383,            0.006774,            0.046263,           0.0077973,           0.0077973,           0.0077973
                  91,            0.036045,            0.010361,            0.058138,             0.39352,             0.37557,             0.32861,             0.16128,            0.026976,           0.0074424,            0.046094,           0.0077725,           0.0077725,           0.0077725
                  92,            0.032631,            0.011621,            0.057312,              0.2626,             0.40805,             0.33371,             0.18062,            0.025288,           0.0064577,            0.044372,           0.0077478,           0.0077478,           0.0077478
                  93,            0.031655,            0.010563,            0.054917,             0.52728,             0.23041,             0.23127,             0.13269,            0.026563,           0.0090031,            0.048076,            0.007723,            0.007723,            0.007723
                  94,            0.030629,            0.011049,            0.054271,             0.37468,             0.40399,              0.3786,             0.20143,            0.023037,            0.006706,            0.045436,           0.0076983,           0.0076983,           0.0076983
                  95,            0.033636,            0.009988,            0.056028,             0.39166,             0.45635,             0.40502,             0.23018,            0.023796,           0.0072414,            0.047258,           0.0076735,           0.0076735,           0.0076735
                  96,            0.034507,           0.0096029,            0.053056,             0.22191,             0.48762,             0.40575,             0.22251,            0.022999,           0.0061376,            0.045542,           0.0076488,           0.0076488,           0.0076488
                  97,            0.029513,            0.009523,            0.047206,              0.1749,             0.39479,             0.33394,             0.15217,            0.026007,           0.0067603,            0.044112,            0.007624,            0.007624,            0.007624
                  98,            0.028806,           0.0092825,            0.051033,             0.30957,             0.34524,              0.3302,             0.15059,            0.025509,           0.0075382,            0.046509,           0.0075993,           0.0075993,           0.0075993
                  99,            0.034866,            0.010424,            0.053899,              0.3169,             0.42846,              0.4044,             0.24154,            0.020872,            0.006624,            0.045072,           0.0075745,           0.0075745,           0.0075745
                 100,            0.033188,            0.010039,            0.056028,              0.3109,             0.39599,              0.3516,             0.17361,            0.026413,           0.0070489,            0.045709,           0.0075498,           0.0075498,           0.0075498
                 101,            0.032571,            0.010515,            0.052361,              0.4963,              0.3423,             0.37243,             0.21156,             0.02523,           0.0074953,            0.047282,            0.007525,            0.007525,            0.007525
