               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  52,            0.033871,            0.012061,            0.043584,             0.25963,              0.7088,              0.3954,              0.2183,              0.0209,           0.0065778,            0.036467,            0.008317,            0.008317,            0.008317
                  53,            0.048137,             0.01237,            0.051696,              0.3535,             0.72818,             0.50186,             0.25098,            0.019186,            0.006888,            0.037073,            0.008284,            0.008284,            0.008284
                  54,            0.029372,            0.011756,             0.04646,             0.33375,             0.80243,             0.51225,             0.31575,            0.019918,           0.0064629,            0.036242,            0.008251,            0.008251,            0.008251
                  55,            0.043119,            0.017607,            0.055544,             0.29562,             0.73681,             0.47961,             0.21259,            0.026711,            0.007152,            0.038251,            0.008218,            0.008218,            0.008218
                  56,            0.042146,            0.016057,            0.052886,             0.34422,              0.7508,             0.55673,              0.2573,            0.023567,           0.0070865,            0.038817,            0.008185,            0.008185,            0.008185
                  57,            0.033796,            0.012471,            0.042987,             0.32916,             0.77233,             0.63705,             0.27941,            0.023687,           0.0069617,            0.038086,            0.008152,            0.008152,            0.008152
                  58,            0.036093,             0.01289,            0.049137,             0.36354,             0.76453,             0.54659,             0.37024,            0.018599,           0.0065197,            0.037832,            0.008119,            0.008119,            0.008119
                  59,            0.035533,            0.011548,            0.044276,              0.3443,             0.75926,              0.4906,             0.18678,            0.025137,           0.0060379,            0.036271,            0.008086,            0.008086,            0.008086
                  60,            0.040539,             0.01188,             0.05263,             0.34879,             0.77211,             0.52989,              0.3075,            0.021533,            0.006417,             0.03612,            0.008053,            0.008053,            0.008053
                  61,            0.040936,            0.011443,            0.049134,             0.34379,             0.82407,             0.54378,             0.28047,            0.020634,           0.0072526,            0.037218,             0.00802,             0.00802,             0.00802
                  62,            0.027689,            0.011838,             0.04446,             0.32137,             0.82407,             0.54335,             0.31919,            0.018342,            0.007156,            0.037687,            0.007987,            0.007987,            0.007987
                  63,            0.037763,            0.012509,            0.046878,             0.37794,             0.76635,             0.57327,             0.35924,            0.020617,           0.0067868,              0.0381,            0.007954,            0.007954,            0.007954
                  64,            0.037241,            0.014718,            0.048136,             0.35888,             0.68636,             0.55415,             0.23492,             0.02276,           0.0070128,            0.038912,            0.007921,            0.007921,            0.007921
                  65,            0.032194,            0.011005,            0.042212,             0.38089,             0.75309,             0.53187,             0.34248,            0.024485,           0.0067748,            0.037507,            0.007888,            0.007888,            0.007888
                  66,            0.035676,             0.01076,            0.051798,             0.36135,             0.62963,             0.52984,             0.26731,            0.019082,           0.0073994,            0.038418,            0.007855,            0.007855,            0.007855
                  67,            0.032954,            0.010593,            0.053093,              0.3891,             0.79519,             0.53621,             0.29936,            0.029723,           0.0063185,            0.036777,            0.007822,            0.007822,            0.007822
                  68,            0.037505,            0.013614,            0.052852,             0.36599,             0.66386,             0.51954,              0.2601,            0.018048,           0.0065751,            0.038202,            0.007789,            0.007789,            0.007789
                  69,            0.041578,           0.0099151,            0.053164,             0.34621,             0.62475,             0.51601,             0.26409,            0.025918,            0.006168,            0.037684,            0.007756,            0.007756,            0.007756
                  70,            0.035364,            0.012723,            0.051778,             0.35099,             0.62929,             0.56838,             0.35028,            0.022891,           0.0061195,             0.03698,            0.007723,            0.007723,            0.007723
                  71,            0.030753,             0.01274,            0.042738,             0.37691,             0.66408,             0.59088,             0.35897,            0.020788,            0.007185,            0.038226,             0.00769,             0.00769,             0.00769
                  72,            0.031429,            0.010428,            0.039516,             0.58659,             0.37037,             0.46366,             0.24462,            0.022407,           0.0073545,            0.039041,            0.007657,            0.007657,            0.007657
                  73,            0.035507,            0.010834,            0.041397,             0.51246,             0.40741,             0.57344,             0.25796,            0.022275,           0.0075164,            0.039067,            0.007624,            0.007624,            0.007624
                  74,             0.03302,             0.01083,            0.039804,             0.60164,             0.52425,             0.57877,             0.25739,             0.02023,           0.0073955,            0.038311,            0.007591,            0.007591,            0.007591
                  75,            0.032772,            0.010461,            0.043877,             0.42815,             0.62963,             0.60993,             0.41313,            0.015481,           0.0061143,            0.036444,            0.007558,            0.007558,            0.007558
                  76,            0.025771,            0.011118,            0.038004,             0.38733,             0.62963,              0.5472,              0.3007,            0.023699,           0.0058071,            0.035917,            0.007525,            0.007525,            0.007525
                  77,            0.033178,            0.012311,            0.041959,             0.45178,             0.62963,             0.59354,             0.37497,            0.017395,           0.0059008,            0.036678,            0.007492,            0.007492,            0.007492
                  78,            0.029786,           0.0096479,            0.045515,             0.42881,             0.57407,             0.59148,             0.37122,            0.018223,           0.0059635,            0.037127,            0.007459,            0.007459,            0.007459
                  79,            0.032516,            0.012612,            0.047982,             0.54833,             0.50038,             0.64093,             0.34113,            0.018615,           0.0062932,             0.03709,            0.007426,            0.007426,            0.007426
                  80,            0.043954,            0.013308,             0.05175,             0.50917,             0.48972,             0.59986,             0.34568,            0.018616,           0.0064279,            0.036832,            0.007393,            0.007393,            0.007393
                  81,            0.042231,           0.0098851,            0.048561,             0.38042,             0.72711,             0.62659,             0.41134,            0.018441,           0.0068032,            0.036401,             0.00736,             0.00736,             0.00736
                  82,             0.02336,            0.012186,            0.037302,             0.42457,             0.72133,             0.61158,             0.40769,            0.016437,           0.0072846,            0.036817,            0.007327,            0.007327,            0.007327
                  83,            0.026497,            0.014456,            0.039863,             0.34163,             0.76852,              0.5384,             0.39281,             0.01794,           0.0068632,             0.03603,            0.007294,            0.007294,            0.007294
                  84,            0.033425,            0.010704,            0.041169,             0.32951,             0.65741,             0.56004,             0.29629,            0.020819,           0.0074336,            0.036585,            0.007261,            0.007261,            0.007261
                  85,            0.034479,            0.015094,            0.051004,              0.3648,             0.76852,             0.58281,             0.35989,            0.017771,           0.0074135,            0.035766,            0.007228,            0.007228,            0.007228
                  86,             0.02542,            0.010579,            0.040153,             0.33759,             0.66824,             0.56874,             0.37762,            0.016872,           0.0076995,            0.035963,            0.007195,            0.007195,            0.007195
                  87,            0.033928,            0.013437,            0.044042,             0.33073,             0.58269,             0.55985,             0.37486,            0.017625,            0.007902,            0.035574,            0.007162,            0.007162,            0.007162
                  88,            0.031662,           0.0087621,            0.042255,             0.34134,             0.58266,             0.56157,             0.38935,            0.018931,           0.0075552,            0.035726,            0.007129,            0.007129,            0.007129
                  89,            0.033449,            0.011717,            0.045589,             0.33208,             0.64888,             0.57025,              0.4074,             0.01759,           0.0072308,            0.035132,            0.007096,            0.007096,            0.007096
                  90,            0.024086,           0.0087407,            0.040771,             0.33702,             0.64309,             0.61817,             0.50427,            0.017467,           0.0067824,             0.03438,            0.007063,            0.007063,            0.007063
                  91,            0.029054,            0.010013,            0.044893,             0.29315,             0.74159,             0.58506,             0.45505,             0.01515,           0.0062255,            0.034617,             0.00703,             0.00703,             0.00703
                  92,            0.025577,           0.0085151,            0.043351,             0.33127,             0.75951,              0.5788,             0.33804,            0.022018,           0.0058022,            0.034597,            0.006997,            0.006997,            0.006997
                  93,            0.030824,            0.010983,            0.042038,              0.3192,             0.77778,             0.54167,             0.39449,            0.015915,           0.0072376,            0.034542,            0.006964,            0.006964,            0.006964
                  94,            0.026749,           0.0093513,            0.038675,             0.37043,             0.70284,             0.50104,             0.33664,            0.020126,           0.0081683,            0.035345,            0.006931,            0.006931,            0.006931
                  95,            0.028635,           0.0082589,            0.034977,             0.36677,             0.72939,             0.48298,             0.35164,            0.019363,           0.0082513,            0.036558,            0.006898,            0.006898,            0.006898
                  96,            0.031817,           0.0090495,            0.036515,             0.31853,             0.73735,             0.51974,              0.3372,            0.018917,           0.0076732,            0.036147,            0.006865,            0.006865,            0.006865
                  97,            0.034271,            0.011384,            0.044947,             0.37177,             0.64581,             0.49087,             0.32461,            0.020141,           0.0083556,            0.038045,            0.006832,            0.006832,            0.006832
                  98,            0.027809,            0.011231,             0.03882,             0.38534,             0.68816,             0.50189,             0.36841,            0.018665,            0.007674,            0.036284,            0.006799,            0.006799,            0.006799
                  99,            0.028368,             0.01004,            0.043909,             0.36451,             0.74521,             0.49496,             0.35019,            0.019199,           0.0067826,            0.034838,            0.006766,            0.006766,            0.006766
                 100,            0.030949,            0.011738,            0.049248,             0.33462,             0.67943,             0.47834,             0.33629,            0.018363,           0.0075998,            0.035396,            0.006733,            0.006733,            0.006733
                 101,            0.034962,            0.011893,            0.042853,             0.25276,             0.56481,             0.51051,             0.36111,            0.017469,           0.0081392,              0.0369,              0.0067,              0.0067,              0.0067
                 102,            0.028311,           0.0083143,            0.041258,             0.29515,             0.56481,             0.52339,             0.36859,            0.016665,           0.0086545,            0.036991,            0.006667,            0.006667,            0.006667
                 103,            0.030479,            0.011805,            0.041375,             0.56055,              0.4717,             0.44414,             0.26516,            0.023212,           0.0093583,            0.036955,            0.006634,            0.006634,            0.006634
                 104,             0.03064,            0.012907,            0.044757,             0.33994,             0.69014,              0.5585,             0.40428,             0.01763,           0.0074538,            0.034705,            0.006601,            0.006601,            0.006601
                 105,            0.027311,           0.0083548,            0.037796,             0.38554,             0.77358,             0.59198,             0.36949,            0.016578,           0.0063303,            0.034063,            0.006568,            0.006568,            0.006568
                 106,            0.029914,            0.011408,            0.037051,             0.37179,             0.77767,             0.64766,              0.4614,              0.0161,            0.005856,            0.033964,            0.006535,            0.006535,            0.006535
                 107,            0.026656,           0.0087441,             0.04126,             0.39842,             0.83424,             0.59422,             0.41335,            0.022822,           0.0048578,            0.033247,            0.006502,            0.006502,            0.006502
                 108,            0.031066,           0.0086133,            0.041224,             0.34364,             0.83443,             0.64559,             0.42686,            0.015782,           0.0053435,             0.03349,            0.006469,            0.006469,            0.006469
                 109,            0.025421,            0.010919,            0.034206,             0.43895,              0.7671,             0.68732,             0.49957,            0.019021,           0.0053646,            0.032957,            0.006436,            0.006436,            0.006436
                 110,            0.033771,            0.013293,            0.040007,             0.39412,             0.67037,             0.67732,             0.51996,            0.015113,           0.0058298,            0.033407,            0.006403,            0.006403,            0.006403
                 111,            0.028079,           0.0093832,            0.039027,             0.37486,             0.67409,             0.61425,             0.41482,            0.018641,           0.0054626,            0.032961,             0.00637,             0.00637,             0.00637
                 112,            0.033277,           0.0093554,            0.043599,             0.52652,             0.65362,             0.64368,             0.41073,            0.016807,            0.005474,            0.032986,            0.006337,            0.006337,            0.006337
                 113,            0.031372,           0.0095963,            0.041732,              0.3918,             0.74072,               0.626,             0.45763,              0.0153,           0.0053814,            0.033195,            0.006304,            0.006304,            0.006304
                 114,            0.023346,           0.0095265,            0.038463,             0.38979,             0.73717,             0.61059,             0.47994,            0.013012,           0.0052873,            0.033446,            0.006271,            0.006271,            0.006271
                 115,            0.027522,              0.0114,            0.043822,             0.38807,             0.79571,             0.60742,             0.43926,            0.014994,            0.005228,             0.03444,            0.006238,            0.006238,            0.006238
                 116,            0.026569,            0.010996,            0.034204,             0.35113,             0.79972,             0.60601,             0.37213,            0.016861,           0.0056928,            0.034382,            0.006205,            0.006205,            0.006205
                 117,              0.0348,           0.0086098,            0.048254,             0.32403,             0.81926,               0.645,             0.45046,            0.015111,           0.0059156,            0.034614,            0.006172,            0.006172,            0.006172
                 118,            0.028425,           0.0086231,            0.033711,             0.32313,             0.82389,             0.55485,             0.40284,            0.016693,           0.0059099,            0.034585,            0.006139,            0.006139,            0.006139
                 119,            0.030853,           0.0087342,            0.039871,             0.29998,             0.82407,             0.53721,             0.32723,            0.017215,           0.0063751,            0.034598,            0.006106,            0.006106,            0.006106
                 120,            0.034745,            0.011987,             0.04231,             0.33533,             0.81757,              0.5444,             0.35892,            0.019683,           0.0065208,             0.03355,            0.006073,            0.006073,            0.006073
                 121,            0.037671,            0.011832,            0.050022,             0.35908,             0.79376,             0.54157,             0.35282,            0.015454,           0.0071119,            0.033857,             0.00604,             0.00604,             0.00604
                 122,            0.020664,           0.0074676,            0.036166,             0.30421,             0.76852,             0.55087,             0.38841,            0.014396,           0.0070651,            0.033551,            0.006007,            0.006007,            0.006007
                 123,            0.024692,           0.0092162,            0.042072,             0.36686,             0.78519,             0.51656,              0.3681,            0.015921,           0.0071744,            0.033822,            0.005974,            0.005974,            0.005974
                 124,            0.023041,           0.0083978,            0.032981,             0.33072,             0.74757,             0.54076,             0.32399,            0.022588,           0.0067251,            0.034135,            0.005941,            0.005941,            0.005941
                 125,            0.027119,           0.0071869,            0.038106,             0.29813,             0.67347,             0.54319,             0.38102,            0.015061,           0.0068331,            0.036782,            0.005908,            0.005908,            0.005908
                 126,            0.023908,           0.0080588,              0.0331,             0.35282,             0.73496,             0.54603,             0.36068,            0.015736,           0.0068529,            0.036948,            0.005875,            0.005875,            0.005875
                 127,            0.031442,           0.0075484,            0.041129,             0.31255,             0.70035,             0.54607,             0.38605,            0.015633,           0.0074881,            0.035308,            0.005842,            0.005842,            0.005842
                 128,            0.028942,           0.0094302,            0.040402,             0.27928,             0.60164,              0.5044,             0.30683,            0.019001,            0.007836,            0.035443,            0.005809,            0.005809,            0.005809
                 129,            0.030053,           0.0089899,            0.042518,             0.31152,             0.54173,             0.47186,             0.32365,            0.014862,            0.008358,            0.035455,            0.005776,            0.005776,            0.005776
                 130,             0.02115,            0.012272,            0.029966,             0.37542,             0.50931,             0.47254,             0.35504,            0.016412,           0.0085427,            0.034098,            0.005743,            0.005743,            0.005743
                 131,            0.030926,           0.0094645,             0.04681,             0.35505,             0.61556,             0.49316,             0.30316,            0.018256,           0.0090597,            0.035062,             0.00571,             0.00571,             0.00571
                 132,            0.026276,           0.0079154,            0.032397,             0.31186,             0.55783,             0.47017,             0.30637,            0.018706,           0.0097439,            0.034246,            0.005677,            0.005677,            0.005677
                 133,            0.027702,           0.0083137,            0.035057,              0.3232,             0.54151,             0.52755,             0.35379,            0.018937,           0.0097059,             0.03496,            0.005644,            0.005644,            0.005644
                 134,            0.023997,           0.0084732,            0.032154,             0.33835,             0.53197,             0.51365,             0.34415,            0.018034,           0.0097579,            0.035511,            0.005611,            0.005611,            0.005611
                 135,            0.023556,           0.0079257,            0.033513,              0.4508,             0.50926,             0.48688,              0.3091,            0.019507,           0.0082961,            0.037163,            0.005578,            0.005578,            0.005578
                 136,            0.029283,           0.0093824,            0.043615,             0.33224,             0.53317,             0.49432,             0.35524,            0.020318,           0.0074603,            0.037762,            0.005545,            0.005545,            0.005545
                 137,            0.026538,            0.010929,            0.036445,              0.4602,             0.50724,             0.47275,             0.30824,            0.018382,            0.006976,            0.036185,            0.005512,            0.005512,            0.005512
                 138,            0.025412,            0.011666,             0.03542,             0.30454,             0.63853,             0.49469,             0.35238,             0.01595,           0.0064263,            0.036027,            0.005479,            0.005479,            0.005479
                 139,            0.034337,           0.0092014,            0.041462,             0.32323,             0.77484,             0.53627,             0.42712,            0.013779,           0.0059722,            0.034181,            0.005446,            0.005446,            0.005446
                 140,            0.021557,           0.0076809,            0.027761,             0.29219,             0.70021,             0.57418,             0.39011,            0.017103,           0.0062141,            0.034361,            0.005413,            0.005413,            0.005413
                 141,             0.02882,           0.0086055,             0.03372,             0.30094,             0.74492,             0.57552,             0.42102,            0.014411,           0.0063957,            0.033819,             0.00538,             0.00538,             0.00538
                 142,            0.016885,           0.0097863,            0.025534,             0.30766,             0.75391,             0.58395,             0.46171,            0.012937,           0.0066024,            0.033739,            0.005347,            0.005347,            0.005347
                 143,            0.026841,            0.010319,            0.035873,              0.2999,             0.77375,             0.54015,             0.36515,            0.015305,           0.0066762,            0.033828,            0.005314,            0.005314,            0.005314
                 144,             0.02247,           0.0072207,             0.03209,             0.33508,             0.80943,             0.58693,             0.41763,             0.01866,           0.0062049,            0.032374,            0.005281,            0.005281,            0.005281
                 145,            0.029053,            0.010477,            0.038293,             0.33872,             0.79826,             0.52653,             0.38862,            0.013549,            0.006674,            0.032581,            0.005248,            0.005248,            0.005248
                 146,            0.023605,           0.0094529,            0.037681,             0.33308,             0.82109,             0.59272,             0.37722,            0.016405,           0.0067073,            0.032495,            0.005215,            0.005215,            0.005215
                 147,            0.026105,            0.009158,            0.046313,             0.33605,             0.82117,             0.61465,             0.41772,            0.016304,           0.0062551,            0.032637,            0.005182,            0.005182,            0.005182
                 148,            0.026894,           0.0089089,            0.035335,             0.35579,             0.80528,               0.581,             0.40944,            0.016617,           0.0056606,            0.032218,            0.005149,            0.005149,            0.005149
                 149,            0.028188,           0.0097469,            0.039824,             0.39035,             0.82922,             0.57239,             0.39905,            0.016831,           0.0060546,            0.033426,            0.005116,            0.005116,            0.005116
                 150,            0.035147,             0.01413,            0.047049,             0.37843,              0.8204,             0.56848,             0.45277,            0.014249,            0.006031,            0.033933,            0.005083,            0.005083,            0.005083
                 151,            0.022962,           0.0079195,            0.029532,             0.29083,             0.67591,             0.56945,             0.42798,            0.013759,            0.006193,             0.03412,             0.00505,             0.00505,             0.00505
                 152,            0.027108,            0.009404,            0.033942,             0.28166,              0.6735,             0.55899,             0.42244,            0.016508,           0.0058463,            0.033519,            0.005017,            0.005017,            0.005017
                 153,            0.032335,            0.010359,            0.038135,             0.29667,              0.6849,             0.57933,             0.43167,            0.012647,           0.0065082,            0.032638,            0.004984,            0.004984,            0.004984
                 154,            0.029714,           0.0083972,             0.03676,              0.3023,             0.71373,             0.57786,             0.41703,            0.015493,           0.0062589,            0.031483,            0.004951,            0.004951,            0.004951
                 155,            0.026457,           0.0097519,            0.041504,             0.30714,              0.7416,             0.57801,             0.42025,            0.012041,           0.0062064,            0.029906,            0.004918,            0.004918,            0.004918
                 156,            0.029056,            0.008843,            0.033137,             0.26762,              0.7205,             0.57649,             0.44712,            0.016648,           0.0057584,            0.029295,            0.004885,            0.004885,            0.004885
                 157,            0.026462,            0.009216,            0.032643,             0.32612,             0.77549,             0.59142,             0.40497,            0.013095,           0.0060364,            0.030203,            0.004852,            0.004852,            0.004852
                 158,            0.021292,           0.0085033,            0.031621,             0.28536,             0.65741,             0.56578,             0.40819,            0.013301,           0.0059705,            0.030637,            0.004819,            0.004819,            0.004819
                 159,            0.023581,            0.010111,            0.028535,              0.3183,             0.61613,             0.58863,             0.41961,            0.014072,           0.0058687,             0.03426,            0.004786,            0.004786,            0.004786
                 160,            0.024722,            0.012327,            0.034294,             0.34626,             0.70162,             0.57546,             0.41504,            0.015696,           0.0057057,            0.032236,            0.004753,            0.004753,            0.004753
                 161,            0.023787,            0.012471,            0.031383,             0.35022,             0.76852,             0.57694,             0.35023,            0.015383,           0.0059255,            0.030775,             0.00472,             0.00472,             0.00472
                 162,            0.024803,           0.0081655,            0.037686,             0.42452,              0.6397,             0.53365,             0.33095,            0.016523,           0.0063385,            0.032494,            0.004687,            0.004687,            0.004687
